model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2783.3259,2.7833,93.90446281,2877.2364,0.9943,0.0149,0.0004,0.0002,0.9943,0.0192,6.3511,6.0511,0.9943,14.3895,343.3331,0.0029,0.9943,18.5293,4.1064,4.0165
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1772.163,1.7722,92.68851948,1864.8534,0.9935,0.0157,0.0004,0.0002,0.9934,0.0206,6.2942,6.0304,0.9935,15.2068,395.7313,0.0029,0.9934,19.893,4.1174,4.0452
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2215.9049,2.2159,96.95919704,2312.868,0.9928,0.017,0.0005,0.0002,0.9928,0.0216,7.2214,6.8219,0.9928,16.4041,436.0294,0.0036,0.9928,20.8813,4.6456,4.5272
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2836.064,2.8361,100.85006166,2936.9183,0.9943,0.0152,0.0004,0.0002,0.9942,0.0193,6.7772,6.4099,0.9943,14.7122,348.6078,0.0032,0.9942,18.671,4.3342,4.2216
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1884.6062,1.8846,110.54023719,1995.1485,0.9922,0.0174,0.0005,0.0002,0.9921,0.0226,6.9515,6.6199,0.9922,16.789,474.4279,0.0033,0.9921,21.7814,4.5231,4.4337
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2314.4113,2.3144,105.09938121,2419.5136,0.994,0.015,0.0004,0.0002,0.994,0.0197,6.0758,5.8247,0.994,14.5025,362.0607,0.0027,0.994,19.0279,3.9718,3.901
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2924.4333,2.9244,109.40719008,3033.8469,0.9944,0.0147,0.0004,0.0002,0.9944,0.0191,6.1651,5.8925,0.9944,14.2007,338.7097,0.0028,0.9944,18.4041,4.0,3.9202
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2027.5157,2.0275,118.86767697,2146.3846,0.9938,0.0153,0.0004,0.0002,0.9937,0.0203,5.8931,5.6865,0.9938,14.7484,383.4634,0.0026,0.9937,19.5822,3.8945,3.8417
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2468.7498,2.4687,114.20343566,2582.9566,0.9928,0.017,0.0005,0.0002,0.9928,0.0216,7.2798,6.8726,0.9928,16.4329,434.9273,0.0036,0.9928,20.8549,4.6742,4.5541
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3068.9767,3.069,122.44029641,3191.4228,0.9944,0.015,0.0004,0.0002,0.9943,0.0192,6.4677,6.15,0.9944,14.4753,342.5647,0.003,0.9943,18.5085,4.1743,4.0767
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2155.7662,2.1558,131.62744999,2287.3955,0.9931,0.0179,0.0005,0.0003,0.9927,0.0218,8.3847,7.7889,0.9931,17.258,442.1814,0.0045,0.9927,21.0281,5.3035,5.1107
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2600.4469,2.6004,130.02544665,2730.4762,0.9934,0.0162,0.0004,0.0002,0.9934,0.0207,6.9593,6.581,0.9934,15.624,399.4869,0.0034,0.9934,19.9872,4.4685,4.3561
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3203.5263,3.2035,129.01210761,3332.546,0.9942,0.0157,0.0004,0.0002,0.994,0.0197,7.1946,6.7643,0.9942,15.1691,360.8325,0.0035,0.994,18.9956,4.5721,4.4374
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2219.9301,2.2199,129.32995439,2349.2619,0.994,0.0152,0.0004,0.0002,0.9939,0.0198,6.2688,5.9923,0.994,14.7062,365.4902,0.0029,0.9939,19.1178,4.0801,4.001
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2644.4558,2.6445,140.29175401,2784.751,0.994,0.015,0.0004,0.0002,0.994,0.0197,6.0759,5.8264,0.994,14.5133,361.5326,0.0027,0.994,19.014,3.9728,3.9026
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3263.9088,3.2639,135.54239702,3399.4569,0.9931,0.0171,0.0005,0.0002,0.993,0.0213,7.7057,7.2221,0.9931,16.5203,423.004,0.0039,0.993,20.5671,4.9032,4.7537
