model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",3321.4666,0.6643,32.175641,3353.6456,0.9879,0.0091,0.0004,0.0002,0.9867,0.0209,4.8833,4.9813,0.9879,9.8202,503.707,0.004,0.9867,22.4434,4.5809,4.6711
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",3331.5499,0.6663,31.778745,3363.3372,0.983,0.0091,0.0006,0.0002,0.9823,0.0241,4.5747,4.596,0.983,9.7708,668.1744,0.0035,0.9823,25.8491,4.2876,4.31
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",3123.826,0.6248,32.588116,3156.4165,0.9809,0.0104,0.0007,0.0003,0.9791,0.0262,4.9559,5.0504,0.9809,11.124,789.62,0.004,0.9791,28.1002,4.6555,4.7446
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",3575.7195,0.7151,38.479414,3614.2099,0.9895,0.008,0.0004,0.0001,0.9893,0.0187,4.893,4.8256,0.9895,8.6276,403.9768,0.0038,0.9893,20.0992,4.5611,4.5093
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",3439.2714,0.6879,33.968112,3473.2409,0.9905,0.0074,0.0003,0.0001,0.9904,0.0178,4.5397,4.5359,0.9905,7.966,363.6387,0.0032,0.9904,19.0693,4.2351,4.2291
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",3694.2839,0.7389,42.147807,3736.4338,0.9888,0.0079,0.0004,0.0002,0.9884,0.0195,4.6247,4.6862,0.9888,8.5208,439.8531,0.0034,0.9884,20.9727,4.3152,4.3653
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",4342.0184,0.8684,37.794746,4379.8175,0.9893,0.0079,0.0004,0.0001,0.9889,0.0191,4.3904,4.4235,0.9893,8.4631,419.4825,0.0033,0.9889,20.4813,4.1089,4.1391
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",4623.5666,0.9247,41.158043,4664.7261,0.9839,0.009,0.0005,0.0002,0.9833,0.0234,4.679,4.6753,0.9839,9.6924,630.4222,0.0035,0.9833,25.1082,4.379,4.3813
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",4177.8474,0.8356,41.174082,4219.0249,0.99,0.0079,0.0003,0.0001,0.9896,0.0185,4.6184,4.6882,0.99,8.472,392.9753,0.0034,0.9896,19.8236,4.3152,4.3734
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",4007.78,0.8016,36.441555,4044.2256,0.9893,0.0078,0.0004,0.0001,0.9891,0.0189,4.5367,4.5072,0.9893,8.3699,411.535,0.0032,0.9891,20.2863,4.2359,4.2126
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",4130.7286,0.8261,40.696393,4171.426,0.9864,0.0086,0.0005,0.0002,0.9858,0.0216,4.6251,4.6697,0.9864,9.218,537.7961,0.0034,0.9858,23.1904,4.3254,4.3649
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",4535.2934,0.9071,48.087265,4583.3832,0.9883,0.0081,0.0004,0.0002,0.9881,0.0198,4.5987,4.5714,0.9883,8.6827,450.9583,0.0033,0.9881,21.2358,4.2962,4.2753
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",5032.4518,1.0065,41.459847,5073.9158,0.9802,0.01,0.0007,0.0003,0.9791,0.0262,4.9103,4.9239,0.9802,10.7658,790.0214,0.004,0.9791,28.1073,4.602,4.6242
