model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",124.1185,1.2412,0.003762,124.1255,0.9975,0.0064,0.0001,0.0,0.9975,0.0089,1.9974,1.9991,0.9975,7.7444,113.191,0.0004,0.9975,10.6391,1.4085,1.4099
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",126.8507,1.2685,0.003487,126.8584,0.9977,0.0062,0.0001,0.0,0.9977,0.0085,1.9341,1.9344,0.9977,7.5028,105.1383,0.0003,0.9977,10.2537,1.3621,1.3626
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",128.9984,1.29,0.002822,129.0075,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8955,1.8957,0.9978,7.3739,102.153,0.0003,0.9978,10.1071,1.3339,1.3342
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",125.5315,1.2553,0.002925,125.5357,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0096,2.0116,0.9975,7.799,115.3471,0.0004,0.9975,10.74,1.4177,1.4191
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",127.3996,1.274,0.002515,127.4092,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.9484,1.9486,0.9977,7.5379,106.4404,0.0003,0.9977,10.317,1.3711,1.3716
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",127.0905,1.2709,0.00228,127.106,0.9977,0.0062,0.0001,0.0,0.9977,0.0085,1.9084,1.9087,0.9977,7.425,103.2407,0.0003,0.9977,10.1607,1.3443,1.3448
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",129.7048,1.297,0.00333,129.7101,0.9974,0.0065,0.0001,0.0,0.9974,0.009,2.0226,2.0247,0.9974,7.8276,116.1839,0.0004,0.9974,10.7789,1.426,1.4276
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",129.4674,1.2947,0.004159,129.4739,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.9422,1.941,0.9977,7.5174,105.8869,0.0003,0.9977,10.2901,1.3667,1.3667
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",131.8342,1.3183,0.003341,131.8445,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.9031,1.9054,0.9978,7.3812,101.7757,0.0003,0.9978,10.0884,1.3384,1.3392
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",128.6225,1.2862,0.002111,128.6267,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0101,2.0118,0.9975,7.7839,114.5419,0.0004,0.9975,10.7024,1.4171,1.4186
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",129.6351,1.2964,0.003359,129.6431,0.9977,0.0062,0.0001,0.0,0.9977,0.0085,1.9264,1.9258,0.9977,7.4798,104.9155,0.0003,0.9977,10.2428,1.3569,1.3571
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",132.7941,1.3279,0.002377,132.8096,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8765,1.8744,0.9978,7.314,100.6377,0.0003,0.9978,10.0318,1.3209,1.3204
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",128.6547,1.2865,0.00349,128.6617,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0008,2.0021,0.9975,7.7514,113.41,0.0004,0.9975,10.6494,1.4104,1.4116
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",130.6942,1.3069,0.003136,130.7011,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.941,1.9404,0.9977,7.5266,105.9471,0.0003,0.9977,10.2931,1.3667,1.3669
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",132.4853,1.3249,0.002529,132.5019,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8962,1.8971,0.9978,7.3654,101.8389,0.0003,0.9978,10.0915,1.3342,1.3346
